"Boys Names in Ireland with 3 or More Occurrences (Number) by Name and"
"Year"

"Aidan",182,233,169,198,215,185,234,213,218,242,258,189,257,227,221,230,243,240,240,229,225,201,191,185,149,123,143,126,146,110,120,113,121,120,149,151,197,187,229,172,179,159
"Alexander",19,23,24,16,30,21,16,32,23,22,30,27,23,20,27,22,31,31,32,21,25,32,23,33,39,49,43,70,71,76,82,77,81,134,145,185,179,177,183,161,202,211
"Benjamin",13,12,7,17,12,15,13,12,9,9,13,10,13,18,15,27,9,15,13,17,32,36,34,31,27,37,50,60,43,57,48,64,70,109,145,139,115,126,108,116,115,134
"Rian",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,..,..,..,5,..,3,7,11,17,19,17,86,139,144,151,161,213,243,208,215
"Sam",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,3,4,4,4,6,22,34,28,28,32,44,35,34,128,138,155,204,210,196,183,166,195
"Stephen",296,379,423,379,402,466,467,568,593,602,606,692,779,704,710,720,773,826,1017,1116,1024,1000,921,875,735,823,809,724,652,623,523,533,524,165,131,154,105,91,99,84,89,59
"Christopher",289,270,280,269,266,243,221,268,229,251,268,223,215,225,206,249,255,276,376,430,434,424,442,457,475,522,421,404,377,351,342,324,293,144,130,149,143,116,117,105,112,114
"Killian",5,3,3,8,4,10,15,8,18,14,19,19,17,28,36,12,23,30,41,26,29,49,53,41,64,61,66,95,86,77,81,95,123,127,130,132,108,127,113,104,88,99
"Josh",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,4,..,5,6,9,11,11,29,114,126,114,133,116,99,103,83,94
"Gavin",3,4,3,23,20,34,47,83,158,175,134,122,170,299,246,202,230,205,184,140,195,166,205,216,183,207,189,193,184,261,224,203,201,95,123,102,91,62,49,45,49,47
"Alan",245,316,338,376,444,517,567,569,646,605,656,747,718,679,674,735,815,785,733,687,647,603,579,535,438,391,373,333,277,249,229,248,205,83,121,116,138,117,103,108,104,82
"Peter",527,578,601,531,526,490,427,521,447,470,437,432,392,415,409,447,489,467,458,440,400,366,356,306,260,237,224,240,226,233,214,212,206,125,121,127,128,96,90,91,70,101
"Scott",..,..,..,..,..,..,6,4,17,13,16,18,11,18,14,20,16,12,13,17,16,23,17,50,37,36,47,39,46,48,40,70,49,134,119,126,112,109,94,118,114,122
"Jason",..,3,5,6,14,63,141,252,311,418,442,370,352,317,264,315,319,253,267,258,281,273,381,347,416,252,270,266,266,303,303,300,261,126,117,123,109,100,114,94,86,72
"Max",..,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..,..,..,..,..,..,3,3,5,6,9,5,8,9,7,11,11,98,116,165,164,187,194,232,213,201
"Lee",..,..,..,..,..,..,11,8,16,17,19,28,..,36,34,46,43,52,41,52,44,74,75,68,80,76,102,130,121,143,159,197,186,138,114,104,88,98,67,69,52,42
"Anthony",613,663,624,592,588,551,563,556,571,518,547,521,504,542,484,482,483,486,493,449,420,420,381,383,309,286,267,297,229,217,162,197,169,104,113,101,100,92,94,77,100,89
"Paul",1814,1323,1297,1275,1086,1075,1031,1030,1061,1112,1139,1108,1098,1114,1343,1492,1262,1110,1107,965,912,873,824,814,610,575,527,507,468,373,348,299,303,125,111,113,104,89,81,69,53,54
"Martin",849,843,814,798,742,680,597,599,612,605,579,548,520,535,532,502,506,501,524,448,416,388,365,360,316,279,259,218,235,208,167,161,174,91,109,99,107,95,89,91,81,81
"Tom",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,4,5,5,5,..,4,9,7,5,13,16,18,14,25,25,29,100,107,113,139,127,126,157,178,185
"Leon",..,..,..,..,6,7,..,3,5,9,7,9,14,9,22,20,15,25,37,16,15,21,33,22,19,29,15,31,25,20,35,61,60,97,106,188,172,154,171,161,149,152
"Niall",142,184,176,184,225,252,277,265,331,319,350,368,359,370,362,373,393,410,403,379,327,346,362,327,310,369,440,325,342,303,290,257,254,126,99,98,113,84,91,86,87,85
